0.35,0.94,0.18,-53,453,89,0.69,0.69,-0.14,-236,282,-186
0.45,0.84,0.21,-2803,-3779,-1795,0.56,0.80,-0.05,-3018,-4314,-82
0.70,0.62,0.32,-1733,-2135,-950,0.32,0.96,0.06,-1512,-2334,78
0.68,0.63,0.31,1765,2660,1326,0.32,0.93,0.05,1996,2943,9
0.55,0.73,0.22,3899,5003,2127,0.47,0.83,-0.02,3287,5815,-546
0.39,0.91,0.18,2265,2752,801,0.65,0.73,-0.11,1717,3104,-745
0.38,0.94,0.18,-1303,-1634,-1164,0.65,0.73,-0.12,-1610,-2111,-180
0.46,0.86,0.18,-3949,-4883,-2280,0.57,0.77,-0.07,-4008,-5772,155
0.64,0.66,0.30,-4336,-5064,-2369,0.38,0.90,0.09,-3950,-5872,463
0.71,0.56,0.34,-418,-241,-6,0.27,1.00,0.12,-129,-266,90
0.65,0.66,0.29,3564,4077,1650,0.36,0.91,0.07,2979,4819,-684
0.47,0.85,0.17,3799,4490,1765,0.61,0.77,-0.08,3262,5120,-856
0.36,0.97,0.15,412,513,361,0.68,0.70,-0.16,71,333,-104
0.41,0.91,0.16,-3358,-3842,-2075,0.61,0.73,-0.10,-3491,-4703,208
0.60,0.69,0.26,-4283,-4926,-2458,0.43,0.90,0.02,-4023,-5780,308
0.69,0.59,0.35,-1775,-1779,-549,0.31,0.95,0.10,-1226,-2004,147
0.67,0.61,0.32,2329,2870,1418,0.33,0.94,0.07,2197,3266,-213
0.60,0.72,0.26,4229,5675,1833,0.44,0.86,0.02,3869,6483,-721
0.49,0.84,0.20,4370,5138,2073,0.58,0.77,-0.06,3568,6076,-1001
0.44,0.89,0.18,2129,2708,1158,0.63,0.73,-0.13,1586,3032,-283
0.39,0.93,0.15,-1318,-1124,-533,0.63,0.72,-0.14,-1404,-1623,157
0.45,0.88,0.18,-3753,-4234,-2809,0.59,0.76,-0.07,-4170,-5204,292
0.52,0.75,0.18,-5555,-6464,-2431,0.55,0.84,-0.02,-5070,-7501,183
0.62,0.67,0.31,-4090,-5473,-2304,0.42,0.90,0.09,-3948,-6319,242
0.66,0.62,0.34,-1119,-2267,-908,0.34,0.94,0.09,-1212,-2485,-208
0.67,0.59,0.33,2393,1728,967,0.33,0.93,0.08,1650,2395,-563
0.65,0.68,0.29,3909,5336,1932,0.39,0.87,0.05,3810,6158,-707
0.61,0.72,0.22,5568,6996,3047,0.47,0.84,0.02,4830,8095,-554
0.55,0.79,0.17,5053,7488,2566,0.52,0.81,-0.03,4811,8296,-263
0.53,0.82,0.18,4090,6375,2342,0.53,0.78,-0.05,3972,7187,-176
0.49,0.84,0.14,3286,4847,1763,0.57,0.80,-0.12,2729,5418,-263
0.47,0.87,0.19,1218,2487,817,0.58,0.77,-0.11,1014,2578,14
0.44,0.85,0.19,-431,-21,-510,0.59,0.79,-0.13,-777,-292,5
0.48,0.83,0.21,-2224,-2330,-1557,0.57,0.77,-0.08,-2421,-2877,28
0.48,0.82,0.20,-3297,-4187,-2059,0.57,0.79,-0.06,-3487,-4959,22
0.50,0.80,0.21,-4333,-5590,-2828,0.55,0.79,-0.01,-4550,-6491,-63
0.53,0.78,0.23,-4713,-6266,-3109,0.54,0.79,0.01,-4998,-7284,-128
0.56,0.75,0.25,-4623,-6542,-2953,0.50,0.82,0.04,-4929,-7419,-165
0.55,0.74,0.24,-4150,-5798,-2693,0.49,0.83,0.03,-4536,-6613,-134
0.57,0.73,0.28,-3150,-5007,-2185,0.46,0.85,0.05,-3660,-5572,-209
0.59,0.72,0.28,-2386,-3526,-1835,0.44,0.87,0.05,-2707,-3948,-366
0.61,0.69,0.31,-800,-1982,-499,0.42,0.89,0.06,-1136,-1996,-424
0.59,0.71,0.30,504,295,-52,0.41,0.88,0.04,327,438,-544
0.59,0.73,0.27,1638,2101,551,0.41,0.87,0.03,1399,2424,-520
0.58,0.71,0.27,2637,3798,1139,0.42,0.88,0.04,2550,4328,-564
0.59,0.72,0.26,3782,5306,1953,0.43,0.86,0.02,3610,6081,-501
0.57,0.75,0.22,4605,6454,2538,0.46,0.85,0.01,4332,7299,-393
0.52,0.80,0.16,4888,6542,2503,0.51,0.82,-0.03,4328,7353,-451
0.49,0.83,0.17,4051,5353,1830,0.54,0.79,-0.06,3485,6089,-537
0.48,0.84,0.16,2478,3648,1265,0.55,0.80,-0.09,2218,4121,-295
0.47,0.84,0.18,1179,2000,528,0.53,0.80,-0.08,893,2185,-215
0.48,0.83,0.20,131,614,-243,0.51,0.82,-0.08,-279,557,-172
0.49,0.80,0.20,-481,-628,-840,0.50,0.83,-0.06,-1029,-786,-323
0.51,0.80,0.23,-1093,-1256,-982,0.48,0.83,-0.05,-1470,-1510,-212
0.49,0.81,0.21,-1341,-1967,-1196,0.49,0.83,-0.04,-1790,-2261,-378
0.51,0.79,0.23,-1842,-2275,-1415,0.47,0.84,-0.02,-2172,-2698,-145
0.54,0.76,0.24,-1526,-1947,-1262,0.43,0.86,-0.00,-1890,-2243,-228
0.54,0.76,0.25,-833,-986,-880,0.42,0.87,0.01,-1274,-1110,-296
0.52,0.77,0.25,-187,-298,-647,0.44,0.87,0.00,-739,-287,-470
0.51,0.78,0.24,-10,-19,-363,0.45,0.85,-0.01,-466,-21,-309
0.48,0.79,0.24,-298,9,-218,0.48,0.83,-0.01,-410,-154,-45
0.48,0.80,0.24,-378,-456,-284,0.48,0.85,-0.00,-574,-619,-140
0.47,0.81,0.23,-211,-808,-717,0.44,0.86,0.02,-802,-863,-598
0.48,0.81,0.23,93,-1003,-1153,0.42,0.87,0.02,-972,-841,-1119
0.49,0.81,0.23,-81,-785,-914,0.41,0.86,0.00,-834,-719,-822
